1.1071,0.6347
0.6556,0.7206
1.0148,0.6798
0.6123,0.7537
1.0002,0.6832
0.7315,0.5588
0.9654,0.7016
1.0745,0.5956
0.9328,0.7191
0.4897,0.8309
0.9203,0.7214
0.4177,0.8603
0.8827,0.7340
0.5041,0.8493
0.8771,0.7312
0.4798,0.8382
0.8523,0.7386
0.5166,0.8346
0.8476,0.7415
0.5563,0.7904
0.8272,0.7446
0.6440,0.7022
0.8207,0.7511
0.4392,0.8566
0.8172,0.7478
0.5170,0.8272
0.7797,0.7611
0.4893,0.8309
0.7875,0.7653
0.3992,0.8603
0.8104,0.7574
0.4883,0.8309
0.7557,0.7670
0.5332,0.8015
0.7714,0.7709
0.5191,0.8272
0.7702,0.7705
0.4175,0.8713
0.7663,0.7718
0.5528,0.7647
0.7577,0.7659
0.4380,0.8529
0.7613,0.7678
0.4266,0.8529
0.7449,0.7697
0.3985,0.8713
0.7491,0.7720
0.3952,0.8603
0.7215,0.7826
0.6060,0.7647
0.7403,0.7687
0.5045,0.7978
0.7455,0.7691
0.4447,0.8493
0.7206,0.7787
0.4436,0.8419
0.7179,0.7802
0.4993,0.8051
0.7386,0.7774
0.4760,0.8456
0.7288,0.7791
0.5485,0.7647
0.7146,0.7781
0.4933,0.8419
0.7008,0.7856
0.3671,0.8787
0.7083,0.7810
0.4141,0.8566
0.6902,0.7893
0.3532,0.8787
0.6876,0.7895
0.3630,0.8824
0.7028,0.7887
0.3975,0.8566
0.6846,0.7910
0.4794,0.7721
0.6749,0.7965
0.4709,0.8603
0.6738,0.7893
0.3609,0.8640
0.6758,0.7829
0.4473,0.8309
0.6771,0.7939
0.3696,0.8676
0.6553,0.8012
0.4078,0.8713
0.6567,0.7979
0.3514,0.8934
0.6703,0.7904
0.3300,0.8860
0.6612,0.7933
0.3848,0.8603
0.6508,0.7977
0.4259,0.8272
0.6513,0.7985
0.3472,0.8750
0.6527,0.7975
0.4512,0.7831
0.6468,0.8021
0.3709,0.8787
0.6513,0.8019
0.3355,0.8860
0.6491,0.7994
0.4204,0.8309
0.6357,0.8073
0.4211,0.8382
0.6253,0.8094
0.3852,0.8750
0.6123,0.8138
0.4032,0.8566
0.6472,0.8025
0.5596,0.7279
0.6154,0.8104
0.4893,0.8162
0.6230,0.8058
0.3803,0.8456
0.6287,0.8069
0.3513,0.9007
0.6089,0.8138
0.3875,0.8603
0.6106,0.8075
0.3683,0.8860
0.6121,0.8142
0.5287,0.7684
0.6024,0.8155
0.3563,0.8640
0.5956,0.8161
0.3681,0.8713
0.6095,0.8159
0.2853,0.9118
0.6007,0.8163
0.3974,0.8640
0.6044,0.8163
0.3296,0.8971
0.5988,0.8199
0.3476,0.8824
0.5855,0.8136
0.3176,0.8897
0.5916,0.8192
0.2817,0.8934
0.5710,0.8244
0.4807,0.8015
0.5779,0.8265
0.3105,0.8897
0.5913,0.8188
0.3873,0.8676
0.5853,0.8226
0.3358,0.8713
0.5689,0.8230
0.4367,0.8346
0.5507,0.8337
0.3847,0.8640
0.5759,0.8238
0.4171,0.8346
0.5652,0.8272
0.4379,0.8419
0.5708,0.8270
0.3549,0.8603
0.5593,0.8259
0.3697,0.8750
0.5489,0.8320
0.3293,0.8787
0.5305,0.8418
0.3399,0.8824
0.5649,0.8286
0.3361,0.8860
0.5572,0.8311
0.3989,0.8493
0.5464,0.8384
0.3706,0.8640
0.5518,0.8299
0.3513,0.8713
0.5428,0.8284
0.3607,0.8897
0.5493,0.8372
0.3979,0.8603
0.5330,0.8330
0.3236,0.9044
0.5471,0.8307
0.3354,0.8787
0.5371,0.8372
0.3084,0.8934
0.5229,0.8384
0.3112,0.9118
0.5260,0.8353
0.3250,0.8860
0.5148,0.8456
0.3645,0.8676
0.5312,0.8405
0.3791,0.8603
0.5315,0.8374
0.3139,0.8676
0.5089,0.8433
0.2934,0.9081
0.5290,0.8370
0.3760,0.8640
0.5101,0.8445
0.3540,0.8971
